Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CanteenManagementSystem.Application\CanteenManagementSystem.Application.csproj,File,src\CanteenManagementSystem.Application\CanteenManagementSystem.Application.csproj,,,Microsoft.EntityFrameworkCore 8.0.22,,,,,"Microsoft.EntityFrameworkCore, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CanteenManagementSystem.Application\CanteenManagementSystem.Application.csproj,File,src\CanteenManagementSystem.Application\CanteenManagementSystem.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,Microsoft.EntityFrameworkCore 8.0.22,,,,,"Microsoft.EntityFrameworkCore, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.22,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.22,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.22,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,System.Text.Encoding.CodePages 8.0.0,,,,,"System.Text.Encoding.CodePages, 8.0.0  Recommendation:  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CanteenManagementSystem.csproj,File,CanteenManagementSystem.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CanteenManagementSystem.csproj,File,Services\OperatorQueryService.cs,97,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var azureStorageUrl = _configuration.GetValue<string>(""AzureStorageUrl"")?.TrimEnd('/') ?? """";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CanteenManagementSystem.csproj,File,Services\ClientCacheService.cs,108,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var azureUrl = _configuration.GetValue<string>(""AzureStorageUrl"")?.TrimEnd('/');"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CanteenManagementSystem.csproj,File,Services\VerificationQueryService.cs,63,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var azureStorageUrl = _configuration.GetValue<string>(""AzureStorageUrl"")?.TrimEnd('/') ?? """";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CanteenManagementSystem.csproj,File,Program.cs,80,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CanteenManagementSystem.csproj,File,Program.cs,47,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<BrandingConfiguration>(      builder.Configuration.GetSection(""Branding""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CanteenManagementSystem.csproj,File,Program.cs,44,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<CanteenConfiguration>(      builder.Configuration.GetSection(""CanteenSettings""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CanteenManagementSystem.csproj,File,Program.cs,38,4,M:System.TimeSpan.FromMinutes(System.Double),,,,,options.IdleTimeout = TimeSpan.FromMinutes(30);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CanteenManagementSystem.Domain\CanteenManagementSystem.Domain.csproj,File,src\CanteenManagementSystem.Domain\CanteenManagementSystem.Domain.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CanteenManagementSystem.Infrastructure\CanteenManagementSystem.Infrastructure.csproj,File,src\CanteenManagementSystem.Infrastructure\CanteenManagementSystem.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.22,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.22  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.7"
